from,to,relationship,year
bs,eu,3,
bs,ua,2,2017
bs,juli,2,2005
bs,lfdp,2,2013
ck,avi,2,2013
ck,ha,2,2017
ck,ut,6,2009
ck,ut,7,
ck,bum,2,2021
co,avi,2,2017
co,sefep,3,2021
co,hbs,3,2021
co,gsf,3,2021
co,ths,3,2018
co,awe,2,2013
co,lg,2,1989
co,efa,2,2004
co,aaa,2,2004
fb,eu,3,
fb,hbs,3,
fb,afsfj,2,2013
fb,aa,2,2013
fb,efa,2,2009
fb,aaa,2,2009
fb,um,7,2010
fb,eha,2,2009
ft,kw,3,2020
ft,gsf,3,2021
ft,eu,3,
ft,ha,2,2009
ft,bffdp,2,2011
ft,bfdp,2,2020
ft,juli,2,2003
ft,ut,7,2012
jb,bffdp,2,2017
jb,afsfj,2,2017
jb,eu,3,
jb,um,7,2003
mt,ths,3,2018
mt,sefep,3,2018
mt,kw,3,2020
mt,eu,3,
mt,ha,2,2011
mt,awe,2,2017
mt,juli,2,1983
mt,lfdp,2,1991
mt,bfdp,2,2003
mt,bffdp,2,2017
mt,eha,2,2014
mt,avi,2,
rs,kw,3,2017
rs,bum,2,2013
tl,eu,3,
tl,ha,2,2013
tl,ua,2,2017